inquiry_id,customer_message,brand_reply,intent,should_escalate,escalation_reason
1886826,Updating iOS on an older iPhone should carry a warning about stupidly reduced battery life! @AppleSupport @115858 Can I have my old iOS back?,@562761 Maintaining your charge is important &amp; we'd like to help. DM us your model iPhone &amp; the iOS 11 version installed to start. https://t.co/GDrqU22YpT,,,
946689,Sure wish iOS Safari had a configuration option to automatically use Reader View on every page. How about it @AppleSupport?,@344486 Thanks for reaching out! We'd recommend leaving that request on our feedback page: https://t.co/eTPVYVFyd8,,,
1368997,"@AppleSupport So you’re working on a fix, right?",@438654 We’d like to offer our support. Please DM us which device and version of iOS you’re using to begin. https://t.co/GDrqU22YpT,,,
1512109,How come my phone is updated and I still see boxes 🤷🏾‍♀️🤦🏾‍♀️ @115858,@470955 Let's work on this together. Reach out to us in a DM and we will work from there. https://t.co/GDrqU22YpT,,,
1434352,"@AppleSupport It’s ok, managed to rescue the timeline by adding 2nd screen. Definitely bugs galore on FCP X 10.3.4 on High Sierra!! Fix em pls!",@453032 We want to hear your feedback. The following link is a great place to submit it: https://t.co/F6iS28rCzR,,,
512548,Psssst @115858 @AppleSupport it would be really cool if iPad Pro would play nice with 4K 60P from @4263 drones. It seems like a thing it should already do. Make it so.,"@237882 We've got a great website where you can leave your suggestions, and let your voice be heard: https://t.co/eTPVYVFyd8",,,
2056387,"Hi @AppleSupport, pls up your iOS 11 game. it's lagging. the phone crashed a few times. the battery is draining so quickly.",@608156 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,,,
1918434,@AppleSupport Performance of 6splus after latest update is like that of a 5000 INR cheap android Phone. What can be done ?,@370394 It's important for your iPhone to work the way you expect. We're here for you. DM us more information. We'll go from there. https://t.co/GDrqU22YpT,,,
1620508,The glitch in the new iOS update is cramping my style @115858 you need to fix this ASAP https://t.co/MyM34Uf12M,@496649 Thanks for reaching out. We currently have a workaround for this. Here's how: https://t.co/xXaXeeSRt9,,,
709062,Waiti for the iPhone update that’s going to fix the battery drain issue @AppleSupport ? I’ve dropped 10% in 20 minutes of reading email.,@289533 We'd like to hear more about what's going on. DM us about this battery issue and we'll continue there. https://t.co/GDrqU22YpT,,,
238811,".@AppleSupport Hey! For some reason since installing iOS 11.0.2 whenever I try to answer calls with my headset, it hangs up. Any advice?",@172799 We can assist you. Does this same issue take place on calls when you are not using your headset as well?,,,
2533244,hey @115858 the new update has basically ruined my phone so plz send help,@720887 We're here for you. Send us a DM and tell us more about what's happening with your iPhone. https://t.co/GDrqU22YpT,,,
2867301,"@AppleSupport Thanks for the quick reply. I’m actually at one of your stores right now, waiting on a technician.",@796329 They should be able to assist. Have a great day!,,,
96951,"@AppleSupport I use to be able to go through my iPhones playlist with my phone, with this update I can’t do that no more. How can I get that feature back? Now it says my watch has to download my playlist so I can search or play a song",@754485 Use the steps here: https://t.co/kPrTO9IGph to sync music to play on your Apple Watch. You can provide feedback about this feature here: https://t.co/eTPVYVFyd8,,,
498638,@AppleSupport I set it up with a email that i made up just for the ipad but can not remember what that email was in how to get id it says need to enter email which a cant as i do not remember what it is thats my problem,"@234039 We value privacy and security, for further assistance, please reach out to us here:   https://t.co/IBIY3vMgPj",,,
103207,Yo @115858 you can make my phone not send/receive texts all you want I’m not buying your overpriced piece of glass #CanYouHearMeNow,@138706 Hi. We'd like to help. This article can help resolve most issues with sending and receiving messages on your iPhone: https://t.co/2hgNQH8Vvq Let us know if this helps.,,,
306950,@AppleSupport is it possible to transfer purchases from 1 Apple is to another?,"@160622 Content is linked to the purchasing Apple ID, however you can look into Family Sharing here: https://t.co/ckptoWI7iV",,,
928245,Panchodo kutteyo kusreyo bastaaro my battery dies so quickly since the update @115858,"@340239 We're here to help. What device are you using, and what's the exact OS version installed?",,,
1064906,@AppleSupport Yep! But why does it disappear is the question? 🤔,@133186 Let's take a deeper look together.  Feel free to DM us and we'll take it from there: https://t.co/GDrqU22YpT,,,
1800303,@AppleSupport Can I get a check on my battery in my iPhone?,@540904 We're here to help. DM us which iPhone and iOS version you have. Tell us what issue you're having with your battery. https://t.co/GDrqU22YpT,,,
2013659,I️ can type the letter I in certain words but not by itself @AppleSupport get it together.,@595421 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,,,
2303486,@AppleSupport The issue that replaces the I with I️,"@668395 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6
DM us any questions. https://t.co/GDrqU22YpT",,,
2573969,"Dear @AppleSupport 

Why does my audiobook keep pausing itself? It’s making me quite upset. 

-Jake",@729927 Let's see what's going on. Which device are you experiencing this on?,,,
2713254,"I did the 11.1.1 update with @AppleSupport and now my phone freezes, won’t scroll, apps and websites won’t load, sometimes I can’t hang up a call and it’s super slow 😡😤🙄",@761708 Our current version is iOS 11.1.2 We want to make sure you are updated to the latest version. Can you clarify this? You can find the information under Settings &gt; General &gt; About.,,,
2065704,@115858 my iPhone freezes and has a battery life of an hour. Fix your shit,@610876 Let's help get this resolved. Please DM us the version of iOS 11 you're using and we can go from there. https://t.co/GDrqU22YpT,,,
98878,"@AppleSupport My iPhone 8+ has suddenly began acting up. It’s randomly restarting by itself, no sound is working as in when I receive a text or call my phone doesn’t make a sound. My touchscreen isn’t responsive sometimes and I can’t play videos in apps, like YouTube or Hayu.","@137647 Thanks for reaching out to us. Let's work to get this resolved together. Let's start with the the sound issue. Which version of iOS is installed currently? Also, check out this article for help with it as well: https://t.co/4Kux8rhhGX",,,
97584,"Erm… What even happened here, @AppleSupport ? https://t.co/SiXJQ8f73Y","@137352 We'd like to learn more about what's going on. Meet us in DM with some details, such as what happened right before you saw this screen, what version of IOS you're using, and what country you're in, and we'll go from there. https://t.co/GDrqU22YpT",,,
1767369,@AppleSupport please send a fix or work around for this: https://t.co/Wwx4Fbb1Ct,@531436 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,
2369542,"If u need to get in contact with me, pls DM me because my phone won't turn on 😩 it's been like this for about 2 hours @AppleSupport https://t.co/DBeh8IEtsk","@683829 We're sorry to see that you're having issues! Try the steps in this article: https://t.co/8MvHMFZ83h

If you still have issues after that, shoot us a DM. https://t.co/GDrqU22YpT",,,
514820,"@AppleSupport iPhone 8 Plus, sorry if I replied so late",@238550 No problem. Let's continue in DM. https://t.co/GDrqU22YpT,,,
2296262,@AppleSupport I can’t click here to work it. https://t.co/xRLDH1LAJ0,"@666693 Go to Settings &gt; your name &gt; iCloud &gt; iCloud Backup and see if you're able turn it on there. Also, what version of iOS are you currently running? You can verify in Settings &gt; General &gt; About.",,,
50828,@AppleSupport I-pad air 1,@127407 We've received your DM and will continue to work with you there.,,,
1910289,Thanks @AppleSupport for IOS11 ... I can now use my phone for 30 minutes on a full charge .. #2017,@569087 Let's look into this battery issue for you. Send us a DM with more details and we can check on available options. https://t.co/GDrqU22YpT,,,
1649091,@AppleSupport can y’all fix this I️ 🤦🏽‍♀️🤦🏽‍♀️,@503750 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,,,
743809,"@AppleSupport just updated ios11.0.2 on my iPhone 7. Nothing works, phone hangs, stops working, shuts off, app freezes. What's going on?",@297846 We'd like to help. Let's meet up in DM to investigate. https://t.co/GDrqU22YpT,,,
1533779,@AppleSupport why does my phone keep turning my I’s into weird characters?,@475666 Let's take a closer look into this together. Reach out to us in a DM to get started. https://t.co/GDrqU22YpT,,,
717232,iOS update made my phone freeze many times. You should fix that. I’m not the only one bother bout the update @AppleSupport,"@291712 We'd love to look into this with you!  To start, can you DM us what iOS version and model iPhone we're working with? https://t.co/GDrqU22YpT",,,
245159,@AppleSupport I’ve tried that a few times to no avail. I don’t know if there’s a hidden setting maybe I need to activate ? It just stays white after 321 https://t.co/D7yg1h6D6K,@174199 Let’s dig a little deeper. Which version of iOS 11 are you running? You can find out in Settings &gt; General &gt; About.,,,
1476470,"@AppleSupport Dear Responsible, my iphone 6+ that bought from istanbul out of service because of imei number. I could not support turkey.",@462786 Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,,,
429156,@AppleSupport can you guys seriously fix the bugs of this new update. My phone is acting so terrible I don’t even want another apple product,@217056 We can assist you. Please let us know what specific issues you are experiencing and we'll help you further from there.,,,
630965,@AppleSupport why is my brightness auto turning on and off on its own? just started today wtfugg,@269526 We're here to help. Which iOS version is your device currently running? We want to make sure you're running the latest version.,,,
2746124,@115858 please fix iOS 11 already. I have an 8 Plus and the performance is just ridiculous,@769022 We want to help. What specifically is going on with your 8 Plus?,,,
2860047,@AppleSupport @115948 ☹️☹️ https://t.co/byLnUWjYaI,@794753 That doesn't look right. Let's partner up to get your Apple Music working as expected. Have you tried restarting your device? Do you get this error on all searches? Please DM us the exact version of iOS running: https://t.co/GDrqU22YpT,,,
1898344,Yo @AppleSupport how much yall charge for this to be fixed? https://t.co/PU2UqiMJyF,@565773 We're glad to go over all service options and costs. Please DM us and let us know which country you're tweeting from. https://t.co/GDrqU22YpT,,,
34620,"When searching fot ""GOT"" Apple TV app shows Cmore but not @1561 Nordic, even tho I only have HBO installed. @AppleSupport",@123503 Let's get you in touch with our Apple TV experts so they can assist further. Reach out here: https://t.co/IBIY3vMgPj,,,
788420,@AppleSupport iphone 6S iOS 11.0.2,@308035 Thanks for the info. What we'd like to do next is invite you to DM so we can review this more with you. Click our link here: https://t.co/GDrqU22YpT,,,
2050369,@115858 FIX IOS11 IT KEEPS TURNING MY PHONE OFF. 😡😡😡,@606342 Having a reliable phone is important! Which version of iOS 11 are you running on the iPhone? Let us know in DM to proceed. https://t.co/GDrqU2kzhr,,,
1233616,@115858 fix ios11 cause my phone freezing since updating,"@409336 We can help! Let us know via DM the type of iPhone that you have, then we can go from there. https://t.co/GDrqU22YpT",,,
2704212,@AppleSupport I phone 7. I want twitter to see/read write screenshots only. Not all photos. Thanks,"@647937 Thanks for clarifying. At this time, there is not a function to control which albums your apps can access, however you can always disable access to photos later.",,,
2112921,@115858 #apple you gonna fix this,@623069 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,
1099682,@AppleSupport  you charged me an extra fee for my Spotify Account. I’d like a refund and for Apple to cancel the subscription.,@192465 We'd be glad to get you pointed in the right direction for help. Reach out to our iTunes Store team: https://t.co/SDIe7UiyJN,,,
1528767,Funny how IPhone X drops and I️ start having issues with my IPhone 7 random ass question marks and black screens @115858 @AppleSupport,@474629 We'd like to help. DM us with a bit more detail on what's going on and we'll go from there. https://t.co/GDrqU22YpT,,,
1006063,"@AppleSupport Yes, it’s on. In addition, I cannot scroll past December into next year in my calendar. Big glitch",@358110 Were you using iCloud? Let us know in a DM. https://t.co/GDrqU22YpT,,,
1897471,@AppleSupport my iPhone 7plus won’t let me install the latest update! Tried multiple times anything I should do? https://t.co/1LAphwFFyl,"@565521 Try out the steps in this article: https://t.co/Ui1yTnOCUz If this doesn't resolve it, let us know via DM. https://t.co/GDrqU22YpT",,,
1999911,Sérieusement @115858 vous allez prendre au sérieux mon problème ?? Ça fait 3 MOIS !!! @AppleSupport,@591343 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3w3RGR https://t.co/GDrqU2kzhr,,,
1335431,@AppleSupport I love you guys but i swear to god you need to fix your mail app ASAP - it doesn’t let me mark an email as read - infuriating!,"@431531 We'd like to see how we can help. To start, which device are you experiencing this on, and which software version is it running?",,,
2642606,I put my phone on the charger and it’s dying.. WTF @115858,@745687 We want to help you out. Send us a DM and let us know what iPhone this issue is occurring with. https://t.co/GDrqU22YpT,,,
2584316,@AppleSupport the  battery life on my iPhone X over the last few days seems to be draining faster than my first week. Is there a diagnostic I can do?,@732331 We'd love to help! Which version of iOS 11 are you currently updated to?,,,
2279231,"Did anyone else’s Apple CarPlay render useless after updating your iPhone to iOS 11? Hey, @115858 @AppleSupport are you listening?",@662663 We can check it out. Does your car recognize the device? Does iOS 11.1.1 show in Settings &gt; General &gt; About? Please provide this information in DM. https://t.co/GDrqU22YpT,,,
2479064,"@AppleSupport hi am having problems with battery in iPhone 5s. Battery charge percentage changes a lot, says I have 18% then 60% when plugin",@270229 Let's help take a look. How long has this been happening? Which version of iOS are you running in Settings &gt; General &gt; About?,,,
2964148,"Hey @AppleSupport my Apple Watch battery has been kinda trashy lately. Where I’d normally get a full day or more, I can rarely make it past 5PM before I’m close to dead. Is a battery covered under Apple care?","@817855 Hi. We'd be happy to work with you concerning your Apple Watch's battery. Please tell us which version of watchOS you have installed on your Apple Watch.  From the Apple Watch app on your iPhone, tap the My Watch tab, then tap: General &gt; About.",,,
1340778,"@AppleSupport hi, is there any way to revert back to macOS Sierra? I’ve had so many problems with High Sierra, I can’t use my Mac properly.",@244832 We'd be happy to assist today. Send us a DM to get started. https://t.co/GDrqU22YpT,,,
2058732,@AppleSupport My icloud account has been locked for security reasons. Even my Apple ID is locked. I can't receive my confirmation code.,@608890 We're happy to assist. This article can help you to unlock your account: https://t.co/HH37urdbz9 DM us with any questions. https://t.co/GDrqU22YpT,,,
1905819,@AppleSupport battery life has bever been this shitty on any electronic device ive ever used. Fix it quick.,@567892 We'd like to look into your battery life. Which iPhone are you using? Which iOS version are you running?,,,
1548538,"I’m suing @115858 for extortion 

They continually cut off features to my phone every time I don’t do one of their updates",@479380 We’d like to understand more about what you're experiencing. Please DM us some details and we’ll take it from there. https://t.co/GDrqU22YpT,,,
291437,@AppleSupport Yeah I can’t seem to get it to edit or trim?,"@185390 Check this out to see if it helps: https://t.co/ux4qCXPAw5 If not, reach out to our Photos experts: https://t.co/IBIY3vMgPj",,,
1570360,Bir aydir telefonumu yapamayan #Apple musteri hizmetleriniz ne zamandir azarlayip konusmayi sonlandiriyor @AppleSupport @115858,@484276 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,,,
2284455,@AppleSupport I see now it’s been changed to the “FILES” app. Thx.,@663857 No problem. Feel free to reach out if you need anything else.,,,
2562366,"@AppleSupport Bought Apple Watch w/cellular so I could leave phone at home, but interval apps can’t run with workout or Nike run app. What am I missing? Surely this isn’t intentional. Help?",@638484 Thanks for contacting us. We want you to enjoy your run. We'd like to get more info. Let's meet in DM and look into this together. https://t.co/GDrqU22YpT,,,
2069467,Can I get a refund for my brand new iPhone 7 that decided to just stop working after this update? Would be greatly appreciated. @115858,@612001 We want to make sure you can enjoy using your new iPhone. Send us a DM with the specifics of what you're experiencing. https://t.co/GDrqU22YpT,,,
1808272,"Under @115858 iPhone6s unexpected shutdown program iZenica, Auth Ser Cntr installed old battery. iPhone now drains even faster. @AppleSupport",@543246 We'd like to look into this with you. Join us in DM with more detail about what you're experiencing. We're happy to help! https://t.co/GDrqU22YpT,,,
36655,"@AppleSupport Do movies listed as DolbyVision in Tunes also support HDR10? Or is this random? Curiously, they are always listed as either or","@123986 Great question! If you see the HDR icon, this iTunes Store movie can play in HDR10. Check this out: https://t.co/SFdFHkEs3N",,,
1744865,"@115858,  how much longer am I going to have to use lowercase L's and/or I's before you fix this shit",@526166 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,
1500789,When the @115858 specialist gives your replacement watch to someone else and doesn’t offer a solution #notgoodenough,@468434 Let's look into this together. Here's a link to DM us. https://t.co/GDrqU22YpT,,,
1168616,@AppleSupport I’ve just got a new iPhone 8+ but I can’t get it to pair with my 1st gen Apple Watch. Help?,@394879 We'll gladly assist. What happens when you try to pair. Are you getting an error message?,,,
2277696,@662347 @662348 @662349 @115858 I have the 6s and did the updates. Still getting the weird A-thingy.,@662346 We are here to help. Are you still getting them when you type or just in things others have written? Let us know in DM. https://t.co/GDrqU22YpT,,,
1948731,@AppleSupport I doubt it. Was happening on multiple devices. iPad and iPhone.,@578963 Do you recall the exact steps taken to replicate this Calendar issue? Please DM us to proceed from here. https://t.co/GDrqU22YpT,,,
686897,"@115858 @AppleSupport @30455 acabo de intentar actualizar mi Mac con el nuevo sistema operativo y la computadora ya no sirve y se bloqueo, llame  al centro de atención en LATAM y no tienen idea de como arreglar el problema y dicen que esto está pasando. Que puedo hacer?",@284016 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,,,
787449,@115858 WTF is this? iOS 11.0.2 or whatever. https://t.co/wA8GbUr4NV,@307838 Which device are you using? Does a restart help to resolve this behavior?,,,
2008227,How long we gon keep this going 👉🏽👉🏽👉🏽 I️ @AppleSupport,@593839  We would like to offer some guidance with this. Please review: https://t.co/xXaXeeSRt9 DM us if you have any questions. https://t.co/GDrqU22YpT,,,
437438,Since the update this is happening very often @AppleSupport @4305 https://t.co/1y98z27XSc,@218885 Thank you for reaching out. Can you tell us what is happening when you get this message?,,,
1291085,@AppleSupport iOS 11.0.3telefon sürekli şarjda arama geldikten 10 saniye sonra arayanın kimliği çıkıyor bıktım,@421921 We offer support via Twitter in English. Contact an Advisor for help in your preferred language here: https://t.co/IBIY3vMgPj,,,
941498,El teclado de los iPhone después de la última actualización. Lo arreglaréis ¿NO? @AppleSupport https://t.co/eq34TTTzSo,@343196 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,,,
2402174,"Hi @115858 @AppleSupport just want to share my 4th freezing experience this morning with you (within two weeks) since I move to IOS11 (just updated to 11.1.1 yesterday)
Maybe one of your software freaks could solve a wildly isssue here in KSA https://t.co/p04Yo3bXVK",@691109 We certainly want you to have the best experience with new updates and would like to help. Please DM us a bit more about what happened and we'll continue there. https://t.co/GDrqU22YpT,,,
556137,@AppleSupport Will it keep the original Live Photo also??,@251802 Once the photo is edited you will see an option to revert back to original when you go back into the photo.,,,
2978162,"Listen @115858 i WILL buy a new iphone when you realease iphone 20! so stop messing up my brand new 7plus! Because it’s BRAND NEW!There’s no reason for it to be turning on and off, with a 100% battery when its BRAND NEW!
-sincerely
 ur not so happy consumer! 
#apple #iphone #angry",@821359 It's our goal that you have an excellent experience regardless of the model of iPhone you have. It sounds like you're having some issues that we'd like to look at together. DM us details on what you're seeing and we'll continue there. https://t.co/GDrqU22YpT,,,
326438,"@193772 @AppleSupport @318 Je rajoute pour @AppleSupport qu’avec la derniere maj, les chargeurs et batteries externes ne sont plus acceptés 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡",@193771 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,,,
407101,@AppleSupport @115858 come on my 6s is mad slow now that I updated and it also says no internet when I’m clearly connected.such trash #iOS11,"@212031 Let's work together &amp; check this out. In Settings &gt; General &gt; About, are you on 11.0.2?",,,
1211062,@AppleSupport How can I save battery life through out my day without needing to plug my phone in all day even though I’m on It a lot?,@404265 Great question! Here's a useful guide with tips for iOS devices like your iPhone: https://t.co/bivpdfBNJ6,,,
1941926,"@115948 @AppleSupport Hi, is there a way to disconnect a UniDays account from an old Apple ID so that it can be connected to a new one?","@577473 Using the new Apple ID, try the steps under ""Verify your Student Membership eligiblity"" here:  https://t.co/ovhvOGgQpP",,,
1030447,"@AppleSupport why would I ever want to take my AirPods out while I’m listening to @115888 put them back in, and want to hear @115948",@363802 Please help us understand what's happening. Is the problem the song or the device? Can you duplicate this on other devices? https://t.co/GDrqU22YpT,,,
1769976,@AppleSupport I’m just trying to update twitter and the App Store is asking me to do this so I enter my CVV and it get’s declined https://t.co/fXW4XM1tre,@532119 Hey there! We'd like to help.  DM us and give us more detail about the issue. We'll go from there. https://t.co/GDrqU22YpT,,,
2743067,@AppleSupport why have all my voicemails disappeared? I had saved voicemails from 2 years ago that meant a lot to me and now they’ve gone. Why??? Please give them back?!,"@287776 We understand how important saved voicemails can be. We're here to help. Send us a DM with the version of iOS you're currently on, the latest is iOS 11.1.2 https://t.co/GDrqU22YpT",,,
2025127,"@115858 @AppleSupport keychain is absolutely useless. Doesn’t work across all devices &amp; seemingly impossible to change password

 #fail",@418652 We want to help.  Send us a DM letting us know more about what you are experiencing with iCloud keychain. https://t.co/GDrqU22YpT,,,
1639029,"@AppleSupport That’s what I tried earlier, I can get my them to pair but I just get phone unavailable. It was fine before the initial update to iOS 11","@501177 Okay, thanks. Let's continue in DM. https://t.co/GDrqU22YpT",,,
1984081,@115858 @AppleSupport can y’all fix this 🙄. https://t.co/uYnzGP9nI2,@587288 Helping you enjoy a smoother experience with your iPhone is a top priority. Follow us to DM to get started. https://t.co/GDrqU22YpT,,,
2929725,@115858 Please fix iOS 11 battery drain. I have to run in low battery to survive the day.,"@202671 Lets look into this battery drain issue. How long does a full charge usually last? Also, how many times a day do you end up charging your device? Let us know in DM. https://t.co/GDrqU22YpT",,,
521342,@AppleSupport you have listened the restarting problem from all the people before four hours .. and till now tyou can't do anything for us ! what a shame ? i will convert to android ..bad service,"@240356 We can definitely offer some guidance on this. So that we can provide the best support options for your region, DM us the country you’re messaging us from, and we’ll take it from there. https://t.co/GDrqU2kzhr",,,
545266,"@AppleSupport ever since I did the latest iOS update my texts come in the wrong order, my apps won’t load properly - have to keep closing and re-opening them - Bluetooth and Wi-fi come on by themselves .. aargh! Can I uninstall please??","@142153 We take the security of your device seriously. For that reason, downgrading is not supported. We're happy to continue addressing your issues with you. DM us and let us know if you've had a chance to update to iOS 11.2. https://t.co/GDrqU22YpT",,,
2276286,"Hey @AppleSupport I’ve just finished a 44 minutes workout but Veteran’s day medal is still grayed out.
I have to wait till the end of the day? https://t.co/A0xl4ugrft","@184724 Let's take a look a this. Have you had a chance to restart since your workout? In DM, please let us know in which country you're located. https://t.co/GDrqU22YpT",,,
2139884,"Hey @115858, fix this I️ problem",@629319 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,
2683872,"@AppleSupport It’s iOS 9.3.5 and every apps slow down the iPad, specially Tw, Fb, Netflix, Raiplay but most of all Safari. The connection problem occurs with all Wifi lines",@754868 Is your iPad currently connected to Wi-Fi right now? DM us the answer and we'll look further into this with you there. https://t.co/GDrqU22YpT,,,
1510545,@AppleSupport Please I really want a refund to my Apple ID...it was paid from my gift balance...,@470601 Our iTunes Store team would be happy to help with your billing concerns. Reach them here: https://t.co/SDIe7UiyJN,,,
631753,@AppleSupport Does iOS 11 cause iPad to charge slower than iOS 10? Seems like it is charging slower. @115858 #Apple #iOS11 #iPad,@269714 No it shouldn't. Could you Direct Message us so we can get more information? https://t.co/GDrqU22YpT,,,
2202120,"@AppleSupport Got emails saying someone reset my DOB/security Q&amp;A and purchased stuff, I reset my pass &amp; I cant login without security Q&amp;A",@643969 We can happily help to get this resolved. Reach out to our Apple ID Support Team here for further help:https://t.co/UJm15vmMM2,,,
999979,@AppleSupport Letter eye shows up as a weird symbol when referring to myself. To get the right letter I️ have to look for it on the correction bar,"@473721 Thanks for letting us know. Please DM us, and we'll take a closer look into this. https://t.co/GDrqU22YpT",,,
2051226,"@115858 fucking stop w/atrocious IOS updates, battery dies in 20 secs, fucks up my keyboard, I end up just turning off all the new stuff",@606608 Send us a DM and let us know exactly when you updated to iOS 11.0.2: https://t.co/80YRnjDFDk We'll do our best to help. https://t.co/GDrqU22YpT,,,
1983086,What the fuck @115858! All these magical characters when I type “I️” I️,@586984 We want to get you on the path to a resolution. Let us know in DM if you have predictive text on and what device you have. https://t.co/GDrqU22YpT,,,
