inquiry_id,customer_message,brand_reply
637458,@AppleSupport I can get on and listen to all of my podcasts and it shows the top 10 episodes on the main itunes page as well as the normal top 100 chart for general podcasts but gives me nothing for the 'top episodes' chart including when I try to refine it by category i.e. https://t.co/fEMBUdD43z,@271148 Thanks for that info. Go ahead and reach out to us in DM and let us know what country you're located in so we can look into this further. https://t.co/GDrqU22YpT
1245993,@AppleSupport Thanks so much.,"@412303 You're totally welcome. If there's any other way we can be of help, you know where to find us! https://t.co/GDrqU22YpT"
2518161,What is this @AppleSupport https://t.co/lSGiSdBIjZ,"@441067 We'd like to make sure we get you iPhone working. Please meet us in DM so we can gather more information, and better assist you. https://t.co/GDrqU22YpT"
1012957,@AppleSupport 11.0.2(15A421),@359699 Thank you. We’d love more details. Are you taking any actions with the device when the screen goes dark?
2817220,"Acepté la actualización que me ofrecía @115858 de macOS High Sierra. Después de 10 horas de múltiples fallos y errores de instalación, de un domingo tenso y desperdiciado, parece que hay que rendirse. Se perdió todo",@785338 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
814903,@AppleSupport Yea I do,@314066 Thanks.  Now make sure iCloud Photo Library is enabled under Settings &gt; Photos
1742553,"@AppleSupport @115858 fix my iPhone and it’s stupid ass autocorrect, ” i “ turns into “ I️ “",@525644 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1744923,@AppleSupport seriously why isn’t there a new update that fixes the issues with the current update. My phone has been glitching since Friday https://t.co/tAYhMoZcUU,@477463 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1906708,@115858 the latest iOS update is slow as hell man. Takes me 5 seconds to text or email a link or screenshot now. Smh,@568117 We'd like to take a further look at this with you. DM us which iOS device you are experiencing these issues on to continue. https://t.co/GDrqU22YpT
2141608,@AppleSupport fix this fucking glitch or i️ am going to throw my phone off of a bridge,@629734 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1407835,"@AppleSupport unfortunately, I do that and then it's fine but eventually it starts again",@447237 Does this only happen when you are logged into a user account. Does this happen when the iMac is sitting idle?
1281460,"@118190 @AppleSupport Confirmed, @118190 in Activity Monitor; when activating screen sharing in a call, Slack prevents sleeping. It went to 'Yes' at that moment. https://t.co/P4r1ZuAE2e",@419820 Please send us a DM and we'll go from there. https://t.co/GDrqU22YpT
2062646,@AppleSupport,"@610011 Let's look into this together. Did the slowness start after using a certain app, or was it immediate? Let us know in DM https://t.co/GDrqU22YpT"
2795484,@AppleSupport Is there a way to check the overall battery health of my iPhone 6S Plus?,@780074 We want to help. DM us and we'll work from there. https://t.co/GDrqU2kzhr
2987501,"anyone having issues with #osx #HighSierra and #Slack, #zoom or Multiple monitors? Getting major lag. @115858  @118190  @172377 #DevLife","@823737 We're happy to help out with your concerns. To begin, have you made sure that all apps are up-to-date via the App Store &gt; Updates tab? 
Does the slower performance happen with a specific pattern?
Send us a DM and we'll work on this together. https://t.co/GDrqU22YpT"
644205,@AppleSupport Its finally working itself out. Still some issues but not this bad now.,@272908 We're happy to hear it's working out. Would you like to work on some issues you're still experiencing? We're here to help!
543645,@AppleSupport see above,"@215820 We're happy to help with this. Take a look here for steps to resolve this: https://t.co/Wc5MHFZb0p Join us in DM if the issue remains, or you have any questions. https://t.co/GDrqU22YpT"
2364563,"Extremely disappointed with @115858 @AppleSupport 
I have been loyal for years but right now I wish I wasn’t.",@682678 DM us the details of your issue and we can help you out with this. https://t.co/GDrqU22YpT
1331931,"@AppleSupport, hi the battery in an iphone 6s last about 6 hours after the last update. As a final note it has a new original battery that was changed through a program you had last September to the battery in some iphone 6s","@430726 Battery life is important, and we’d love to assist. Are you using iOS 11.0.3? Let us know in DM. https://t.co/GDrqU22YpT"
1538031,@AppleSupport hello it is taking a long time for my Apple ID to be set up on the #iPhoneX so it your servers regards,@476795 We'd like to help. DM us the country or region you're located in. https://t.co/GDrqU22YpT
1772861,Is anyone else having a bizarre issue with @115858 #AppleWatches where your watch face displays random photos it isn’t supposed to? They’re definitely NOT supposed to be displaying. Why is my watch doing this? @287031 @73489,@532834 Let's look at this together. Which software version are you using?
1692571,@115858 3 days ago i got my iphone x and is it normal that it tooks 4+ hrs for a full charge.. is it normal I'm really concerned l. plz reply,@513702 We can assist you. Please DM us via the following link and we'll help you further from there. https://t.co/GDrqU22YpT
2925629,@115858 needs to update their shit my phone keeps freezing and safari is slower than dirt it’s ridiculous,"@809489 We certainly want you to be able to enjoy your iPhone, and we'll do all we can to help. Please send us a DM, and we'll investigate this together. https://t.co/GDrqU22YpT"
594689,@AppleSupport My computer has been installing the latest update pre login for a long time approximately 2 hours. What is the expected wait time? Or is there an issue with the update?,"@260898 We appreciate you reaching out!  To start, can you tell us what macOS you were on prior to updating?"
2903682,@AppleSupport why new iOS on IPhone 8 keeps forgetting my WiFi and then I have to reset network settings 5 times a day?,"@804171 That's not the experience we expect and we'd like to help. To start, can you provide us with the exact iOS version you're using? Also, when did this first start? You can find the iOS version by going to Settings &gt; General &gt; About."
2205749,@AppleSupport Any way to check the overall battery health of my iPhone 6s?,@644916 We're glad you reached out. Battery life is essential to your iPhone experience. Let's look into some options together. DM us to get started. https://t.co/GDrqU22YpT
912843,@AppleSupport Just get no connection when using. https://t.co/hoy4LnRnyF,@336779 Is this happening on Wi-FI as well as cellular data?
2479064,"@AppleSupport hi am having problems with battery in iPhone 5s. Battery charge percentage changes a lot, says I have 18% then 60% when plugin",@270229 Let's help take a look. How long has this been happening? Which version of iOS are you running in Settings &gt; General &gt; About?
1905819,@AppleSupport battery life has bever been this shitty on any electronic device ive ever used. Fix it quick.,@567892 We'd like to look into your battery life. Which iPhone are you using? Which iOS version are you running?
1785460,@115858 @AppleSupport  iOS 11 make ipad run slow.,"@536435 Slow performance is certainly no fun, and rest assured you are in the right place to get some help. DM us to get started. https://t.co/GDrqU22YpT"
1595004,@AppleSupport please help with these I️ I️ I️ I️ I️ I️ I️ ... it’s driving me insane 😑,@490096 We'd love to help. Check out the steps here: https://t.co/xXaXeeSRt9 Let us know if you have questions.
1037471,@AppleSupport Oh hey um....where is the video option? 😅 https://t.co/tObiKu1OQd,@365425 Let's restart the device. Does the issue remain?
1999742,@591287 @AppleSupport I swear I turn it off at least 10 times while at work because it always flips back on asking me to join a network.,"@591345 We'd love to look into this with you. Are you disabling Wi-Fi via the Control Center, or through Settings? Let us know in DM. https://t.co/GDrqU22YpT"
2728286,"@AppleSupport Checked time- battery at 54%, checked again 5 minutes later, it was down to 13%. Phone was doing nothing in between. This only happened since installing ios 11. I’ve done all I can think of to reduce battery drain. Help!!","@764997 Hey there. We appreciate you reaching out. What model iPhone are you using, and what is the exact iOS version installed in Settings &gt; General &gt; About? Also, let's make sure your settings are adjusted for improved battery life as listed here: https://t.co/bivpdfBNJ6"
2005254,"@115858 , this started happening after the update. What’s happening??? I’m ready to throw my phone out the window",@592994 We have a few steps that might help here: https://t.co/xU1AGHStV6 Still need help after apply this? DM us with the link below. https://t.co/GDrqU22YpT
2668961,"Can’t make or receive calls, a black screen for over an hour yesterday on my iPhone X. Thanks @AppleSupport","@751752 Thanks for contacting us. We know how important it is to stay in touch. We're happy to help the best we can. Let's start with the steps here: https://t.co/U53YusKX3z

Please reach out if you still need help after trying these steps."
2300665,@AppleSupport It's an iPhone 7 iOS 10.3.3 (although it was doing this when my phone was up to date on software as well) I don't get the temp alert on my screen- when I press on anything it won't work (e.g. opening an app) so I lock it and then it's just a gradient orange screen,"@557936 Thanks for those details. We'd like to take a close look into this issue with you. Please DM us and let us know when the phone gets warmer than expected; during charging, sitting idle, watching videos, etc. https://t.co/GDrqU22YpT"
2686656,@AppleSupport  https://t.co/rpeBYtGJQT,"@650961 You're absolutely right, you have plenty of iCloud space. What is happening when you try to back up? Are you getting an error message or does the backup just not complete?"
2111410,"@AppleSupport this sounds weird.
Whenever I create PDF of Web page from Safari(Save PDF to iBooks) this app(Office to PDF) downloads automatically(No fingerprint,no password,no prompts)
Happened 3 times on 3 different days!
STRANGE!

https://t.co/ptVCZb9RZ4 https://t.co/iA21AiClz1",@258351 We want to help.  Do you have MS Office on your device?  What version of iOS is on your device?
1803138,"Thanks @115858 for the OIS update. Can’t change my ringer volume, no sound in SC videos with ringer off smh","@541812 Let us take a look! Regarding your volume, let's go to Settings &gt; Sounds &amp; Haptics, is Change with Buttons enabled?"
743809,"@AppleSupport just updated ios11.0.2 on my iPhone 7. Nothing works, phone hangs, stops working, shuts off, app freezes. What's going on?",@297846 We'd like to help. Let's meet up in DM to investigate. https://t.co/GDrqU22YpT
2185161,@AppleSupport Hey @AppleSupport i updated to ios11.0.3 but nothing much have changed. Where is the setting to save screenshots directly to photos in ios11,"@150585 Screenshots are automatically saved to your Screenshots album in Photos, so you don't have to worry about it."
489714,@115858 fix your podcast app. This update is awful and I hate it with a passion I never thought I could have for an app #podcast #applepodcasts #updatefail,@231637 We want to help. Please DM us details on what exactly is happening with the Podcasts app and we'll work with you on any issues you're having there. https://t.co/GDrqU22YpT
2255482,@AppleSupport Nope but whenever I connect it to my laptop on iTunes it says error connecting to iPhone. I'm about to wipe my thing because according to everyone that's all you can do unless you use iCloud 😐,"@656937 If you have an iTunes backup, you don't necessarily need iCloud, so let's explore the error that you're seeing. What's the exact text you see when you plug your iPhone into the computer? Let us know in DM and we'll dig in further. https://t.co/GDrqU22YpT"
742515,@AppleSupport iPhone 6S and iOS 11.0.2,@297538 Thanks for the info. Let's get you updated to 11.0.3 and see if the issue persists. Instructions here: https://t.co/80YRnjDFDk
2942896,@115858 every time I️ use the letter “I️” on my keyboard I️t turns into some weird symbol. IM PISSED,"@813047 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6"
1683467,@AppleSupport My phone is using data to back up to icloud every morning in the 2 am hour. How do I prevent this usage?????,@323924 That’s a great question. Here’s a link about the automatic iCloud backup feature: https://t.co/4f8hwT5to6
2304639,"Every time I receive a Snapchat notification, my music pauses 🙃 #iOS11struggles @AppleSupport","@275677 Let's look into this for you. Are you experiencing this with our Music App or a 3rd party music App? Also, what iOS 11 version are you currently using? Let us know in DM. https://t.co/GDrqU22YpT"
514775,"@AppleSupport Our Safari browsers since the last Apple security update, keep crashing,  the minute you open Safari it crashes, we keep sending in the reports.   Is there a problem with the last security update that would do this?","@238536 That's not expected behavior after an update, and we want to help. Try the steps here and let us know if it helps: https://t.co/jmfl9ljdvU"
1569677,"@AppleSupport
Is iPad (Gen4)128GB WiFi+4G LTE getting an upgrade from Buggy iOS 10.3.3 or is @115858 just moving on to iOS11 &amp; won't fix it?!",@484144 We'd like to help. Please meet us in DM and we'll take a further look at this together. https://t.co/GDrqU22YpT
2057179,hey @AppleSupport kind of sus that my phone stops working out of nowhere right as the new iphones are coming out,@608411  We'd be more than happy to lend a hand. Send us a DM telling us which iPhone you're using &amp; its iOS version number. https://t.co/GDrqU22YpT
676048,"If I pay for @115948 @115858 I expect my downloaded playlist to not disappear when there’s an iPhone update, SO GET IT TOGETHER😡",@281266 We're here to help. Let's take a look at possible causes. Is iCloud Music Library enabled when you go to Settings &gt; Music?
2893366,Deleted a whole message feed by accident and I can’t get them back😭 any help? I didn’t back up my phone either @AppleSupport,@801933 Thanks for reaching out.  We want to help. The way to recover deleted messages is to restore them from a backup.
1482440,@AppleSupport same result https://t.co/RLmsqNKfkX,@464218 Okay. Let's look into this further. DM us your iOS version here: https://t.co/GDrqU22YpT
2286702,@AppleSupport can I update my iMessage apps?,@156798 We're here to assist you. Can you clarify what you are attempting to update that's related to iMessage?
427843,. @AppleSupport search in messages ain’t working post update. Please look into it. #iphone6s #ios11.0.2,@149341 Go ahead and let us know what issues you're having specifically with search within DM here for help: https://t.co/GDrqU22YpT
552089,@AppleSupport Yes we did,"@248698 Great! You may also need to disable notifications, restart your device, then re-enable those. More info here: https://t.co/osZOKKTalm"
1703933,@AppleSupport @115858 I need to know just 2 things. Has the #Iphone10 a #Backbutton ? Can you place the cursor anywhere in a word without a long press?,@520033 We're here to help. You move the cursor the same as before. The keyboard is still the same. https://t.co/L2Qp1hJ1RT
2583153,"@AppleSupport ever since i updated to ios 11 my apple music isnt working properly. i cant add, delete or download any songs and it freezes whenever i try to make new playlists",@172387 We want to help. Reach out via DM using the link below and let us know what version of iOS 11 you have installed. You can check by tapping Settings &gt; General &gt; About. https://t.co/GDrqU2kzhr
1496723,"@AppleSupport i can’t purchase diamond in mobile legend, how to fix it? https://t.co/0C0Lq6weMQ",@467488 We received your DM and you'll see a response there shortly.
427090,@216585 @173329 @AppleSupport I've lost patience trying to update. Will just wait for it to pop up.,@216584 We want you to be able to do the update. Does it give the same error message while on Wi-Fi? DM us and we'll help out. https://t.co/GDrqU22YpT
1027576,"@AppleSupport I'm not sure what the goal was with this new update, but my phone has been giving me problems for the last 30+ hours....",@363159 We’ll work through this together. What’s happening with your iPhone? Are you using iOS 11.0.3?
2565788,@727915 @711172 @AppleSupport I updated mine and it didn’t fix it,@727914 Thanks for letting us know. We'd like to take a look at some details to assist. Send us a DM using the link below and we'll continue. https://t.co/GDrqU22YpT
2381414,hey @AppleSupport My find my iphone alert just randomly went off... any ideas as of why?,"@250321 We can help look into that. Are you signed into iCloud on any other devices or computers? Do you share your iCloud account with anyone else? Please, answer back in a DM and we'll continue from there. https://t.co/GDrqU22YpT"
1895629,@AppleSupport do you have a complaints email,@565012 Let’s work together on your situation. Could you let us know more details via a DM? We’ll keep moving forward from there. https://t.co/GDrqU22YpT
1246461,@115858 @AppleSupport who can I chat/ contact about an issue I had with the @17425 not honoring my AppleCare+?,@412439 Let's look into this together. Please send us a DM and we will go from there. https://t.co/GDrqU22YpT
2304868,@AppleSupport so I’m seeing this mark where the letter I should be (Iphone 7 iOS 11.1.1) https://t.co/4LMTFZ5bh0,"@251070 Thanks for reaching out! We'd be glad to assist you! The first question we'd like to ask is, in the screenshot attached, the message in which you circled the question mark, is this a message you composed? Or is this someone else's post? Let us know in DM: https://t.co/GDrqU22YpT"
1625390,@AppleSupport. My iphone 7 plus is heating after i watch youtube videos for around 10 mins after updating to ios 11.1. Pls help,@497763 We'd be happy to look into this with you! Send us a DM to get started. https://t.co/GDrqU22YpT
1828574,@115858 get your shit together. iOS 11 has fucked my brand new 7+ up. I have to reset at least 15x a day.,"@548775 We can help. DM us some details on the issue you’re noticing with your iPhone, and the version of iOS 11 it's on. https://t.co/GDrqU22YpT"
2787813,"@AppleSupport Both , apps freeze and throw me out , the device freezes and the screen goes black and doesn’t respond , the speaker stops working on phone calls and I have to turn it on and off to get it back , camera roll pictures don’t load &amp; the mini screen for music disappears a lot",@778258 We understand wanting to get these issues sorted out. Do you have any app updates available in the App Store &gt; Updates? Are you currently using a case or a screen protector with your iPhone?
1181514,"@AppleSupport Why when I take a screenshot of something, doesn’t matter what it is, it always comes out completely black? An all black pic..",@397860 Thanks for reaching out. Have you done any troubleshooting steps before reaching out to us? We don't want you to repeat steps.
2578721,ever since the most recent @115858 iOS update my phone hasn’t accurately tracked a single run - not on @38679 or @499151 . today’s run was the Most accurate yet 😾😾😾😾 #christlike https://t.co/cy26PdYSED,@731072 We know how fun it is to track your activity with different apps. We'll be happy to do what we can to assist. Does your iPhone show the correct location when using Apple Maps? We want to be sure the GPS sensors are working correctly. Please DM us here: https://t.co/GDrqU22YpT
663932,"@AppleSupport If I purchase Apple Care, will my repairs be free? Does Apple Care cover all repairs or only certain kinds.",@156798 Great Question! AppleCare+ coverage really depends on the device and the service required. We have a great resource that explains in further details per device. Take a look: https://t.co/Ds0oKsCgkE
1443336,"@AppleSupport Uh, weirdness after watchOS 4.1 update https://t.co/Q2J6P7OK3l",@408 We'd like to take a closer look at the issue. Has this happened every day since updating? https://t.co/GDrqU22YpT
1768802,"@AppleSupport this new update has completely JACKED UP my phone!!! freezes randomly, can’t look at apps while on the phone, hard resets!","@531790 We'd like to take a look at this with you. To start, may we ask which iOS version you're currently using?"
1692496,i am stressing out so much with this new update. my phone keeps dying on me randomly and the apps keep crashing. please fix this ;( @115858,@513685 We are here to help. DM us your exact iOS version and we can take a look at this. https://t.co/GDrqU22YpT
1449286,Just downloaded the iOS 11.0.3 software update and.. none of my downloaded @115948 will play (offline) @AppleSupport SOS 😭 https://t.co/YlSaaB3N0v,"@456304 You should be able to play downloaded content on, or offline. Does this persist after rebooting the device?"
1649091,@AppleSupport can y’all fix this I️ 🤦🏽‍♀️🤦🏽‍♀️,@503750 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz
2652600,@AppleSupport Can y’all fix that problem,@748088 You can download on a computer running iTunes and sync the media over. This page should help: https://t.co/048FvsiWf8 DM us if you run into any issues. https://t.co/GDrqU22YpT
294912,"@AppleSupport @115858 #ios1102 Problems: draining battery like hell, Constantly Iphone and keyboard freezing, APPS crashing... etc ... HELP!","@186229 We'll help out. To concentrate on one issue at a time, check these battery tips as a first step. https://t.co/bivpdfBNJ6"
2517145,I’m so mad at @115858 and their stupid slow ass update,@717032 We're here to help and want to do all we can to work towards a resolution. Select the following link to join us in a DM and let us know more about what's going on. https://t.co/GDrqU22YpT
1299558,#apple @AppleSupport @115858 is this legit or is it just someone down the like wanting to make money of me from getting the app? https://t.co/gawICJASVo,"@423735 You may disregard this, as it is not from us here at Apple."
1231294,"@AppleSupport Yes, I’ve tried that a few times and I have tried resetting network settings.","@408807 
We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT"
2079690,"@AppleSupport since updating iOS, I frequently get no service or searching for hours. I’ve restarted, reset network settings, updated iOS",@292824 We'd like to help out with your iPhone. Try these steps: https://t.co/5KootZbxj1 Send us a DM if it continues. https://t.co/GDrqU22YpT
1834254,The new apple update slowed down my phone and drains its battery fast...wtf did you do?! @AppleSupport,"@550188 That's not what we want to happen, at all. Please DM and tell us what iPhone device you have. We'll meet you there to help. https://t.co/GDrqU22YpT"
891112,@115858 did the iOS 11.03 update and my battery still sucks. Can we address this issue?? #ios1103 #batterydrain,@331581 We're here to help. Have you tried these battery tips and tricks to maximizing your performance? https://t.co/bivpdfBNJ6
1821200,@AppleSupport yo fuck ur update fix this shit my Bluetooth and sound are fucked,@546749 This is not the experience we want you to have. What issues are you having with your sound and Bluetooth? Let us know in DM. https://t.co/GDrqU22YpT
915188,@AppleSupport Just updated to IOS11.3 and my Apple Music library has gone 😐,"@337310 Let's work on getting your music back! To begin, were these the songs you have downloaded or the entire Library?"
1762224,Ok but when is @AppleSupport going to fix this stupid I️,@530235 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2072154,@AppleSupport 35 minutes waiting to talk to an expert and no answer... The might be still sleeping #applealarmclock https://t.co/D0zDNmslWq,@612870 This is not the experience we'd expect you to have. Let us know in DM the issue you're having and we'll do everything we can to assist. https://t.co/GDrqU22YpT
2312106,@AppleSupport are the Air Pods available on student discount in the UK? Went on your site I can't tell,@670523 Let's get you in touch with our Sales team for assistance with this. You can reach out to them here:  https://t.co/8yjRd1Xo0i
1413230,@AppleSupport aye fix my phone. this question marks pissing me off,@448426 We'd love to help. What iOS version do you see in Settings &gt; General &gt; About &gt; Version?
2294698,"@AppleSupport the new Mac OS Sierra just messed my laptop up. Finder is not even working, I need an answer","@666321 Finder is an essential component to the Mac, and we'll do all we can to help. To get started, do the steps to force quit and relaunch Finder. For more help with this issue, check under ""Learn More"" here: https://t.co/W0vgF3uI0f"
2112858,Anyone have any idea why my @115858 TV downloaded a new aerial screensaver even though I have set it to never download new ones? Annoyed that my arctic one has gone and been replaced by Dubai #appletv #apple #annoying,@623047 That's a great question for our Apple TV team. You can reach out to them here: https://t.co/IBIY3vMgPj
2304537,.@115858 your latest update is annoying me! My phone is even slower than ever and it has weird autocorrects! 🙄🤬,"@668650 Let's find a solution together. Just to be sure we're on the same page, is your iPhone running iOS 11.1.1? Tap on Settings &gt; General &gt; About to find out."
1510545,@AppleSupport Please I really want a refund to my Apple ID...it was paid from my gift balance...,@470601 Our iTunes Store team would be happy to help with your billing concerns. Reach them here: https://t.co/SDIe7UiyJN
1429725,@AppleSupport Sort your updates out - I can’t send a text from contacts - shocking how you offer updates that mess up other parts of phone system 👎👎👎👎,@287512 We'll be happy to look into this with you. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT
1433668,"@AppleSupport As I said preciously, the programs that have issues are while playing videos in full screen mode within Safari (YouTube video still works)","@452872 Thank you for your reply. Does it flash green at the beginning a few times, then play normally after that? Let us know in DM. https://t.co/GDrqU22YpT"
2949596,"@AppleSupport Any ideas what could be causing this issue on my iPhone 6 Plus? Screen becomes unresponsive, flickering bar at the top and sometimes it does its own thing altogether. Phone is near enough unusable. https://t.co/a7okyhH7TE","@814573 We want to help. How long has this been going on? What's the iOS version being used? Meet us in a DM, we'll continue with this there. https://t.co/GDrqU22YpT"
288489,@AppleSupport I did my new update now my phone randomly locks and resets itself. Will there be a new update to fix this?,@184723 That's not the experience we want you to have. DM us using the link below. We'll work from there. https://t.co/GDrqU22YpT
1589860,@AppleSupport 1ZE10Y190463677157,"@488075 You can check the status of your order here: https://t.co/6uY1Dt1ndg 
DM us if you still have questions after that. https://t.co/GDrqU22YpT"
1574417,@115858  @AppleSupport why does this happen? The “I️” is lost https://t.co/0AWUMQJzo5,"@485218 Thanks for reaching out. This article has more details on that behavior, including how to address it: https://t.co/xXaXefaskH"
2888387,Got a call my CC info &amp; SSN were accessed. Checked all of my stuff and there’s two fake domains in my Passwords that have no site name &amp; won’t delete even when I️ reset my Keychain. @AppleSupport you wanna spot me for a new identity orrr? https://t.co/wb5ru2w4AN,@697403 We’d like to look into this with you. Please send us a DM to let us know details about the call you received. https://t.co/GDrqU22YpT
1830334,How do you clear newer notifications off of the home screen in the new #iOS? @AppleSupport https://t.co/HMpjMESJL6,"@459279 Let’s see what’s going on with this. Reply by DM, and let us know the iOS version shown in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT"
708647,@AppleSupport yes i am,"@289409 Alright. Since updating, have you restarted your iPhone? If not, give that a try next. Let us know the results in DM, please. https://t.co/GDrqU22YpT"
1166192,@AppleSupport iOS 11.0.1 is also just so buggy! Is a fix coming for apps and screen not to freeze while in use?,@394312 Let's try following this article to make a backup and update to our latest version of iOS: https://t.co/80YRnjDFDk
1974583,I left the house with my phone on 58% now it's on fucking 38 @115858 do better,@584753 We know how crucial battery life can be. Send us a DM and tell us when this started. We'll take it from there. https://t.co/GDrqU22YpT
1582148,"Hey @AppleSupport, what’s up with this? Autocorrect gone wild. https://t.co/QOksxYb1XB","@487004 We are here to help. To get started, let's take the steps in the following article: https://t.co/xU1AGHStV6"
2679895,@AppleSupport why does FaceID not work for approving Apps requested via iCloud Family Sharing “Ask to Buy”? It only ever asks for me to enter my password unlike TouchID,"@754014 With Ask to Buy enabled, to approve the request, you'll need to enter in your password for your account. More information about this process is here: https://t.co/2UQHujZDZp"
1925138,@115858 what’s wrong with the store app?,"@573016 If you're still having issues with your Apple device or service, we'd like to know more. Reach out to us via DM with the details. https://t.co/GDrqU22YpT"
2002344,Hey @AppleSupport fix the problem with the fucking “I️ “. It’s supposed to be I,@592084 We're happy to look into this with you. Please DM us the iOS version installed &amp; additional details about this issue. https://t.co/GDrqU22YpT
769020,"@AppleSupport Both. It magically turns back on whether at work, home or whoever’s house I’m at and if their WiFi doesn’t work properly, it slows me down.",@303627 Let's take a look at this for you. Reach out to us in DM. https://t.co/GDrqU22YpT
1691808,@AppleSupport cut off AGAIN that’s the second time now - what the hell is going on?,@172173 We're sorry to hear that we're having troubles connecting. Let's go into DM and see what's going on. https://t.co/GDrqU22YpT
82058,"@AppleSupport @AppleSupport to unlock my iPhone, it happened every time. Sorry I took so long to answer, had to buy a new one 😕. The old one says Error 9 when trying to restore. Is there a solution?","@134161 We’ll want to be sure to follow the steps listed here for restore error 9: https://t.co/lMMVPdjGNN 

Let us know if you’re still having issues after completing the steps."
908492,"@AppleSupport 6, it lasts about 2 hours after the update.",@276491 Thanks for clarifying. Send us a DM so we can continue to work with you there. https://t.co/GDrqU22YpT
853006,"@AppleSupport why does my phone keep connecting to WiFi and Bluetooth randomly? If I wanted to turn it on, I would. iOS 11 problems! 😤",@322633 Thanks for reaching out. Let's figure this out together. Are they turning on in Settings or in the Control Center?
2777522,@AppleSupport The iPhone 6 Plus. Can we arrange a call?,"@775992 Thanks for clarifying this for us. If you'd prefer to work with our telephone support, you're welcome to reach out to us here:  https://t.co/IBIY3vMgPj"
